lab,rowid,period_year,period_quarter,count_tested,count_positive
39,18781,2015,4,18,4
2,19534,2016,1,106,8
4,19562,2016,1,27,0
7,19588,2016,1,68,31
9,19607,2016,1,69,62
10,19618,2016,1,320,1
11,19633,2016,1,279,73
12,19646,2016,1,96,22
13,19660,2016,1,131,38
17,19682,2016,1,39,10
20,19716,2016,1,1865,1001
22,19883,2016,1,351,160
25,19765,2016,1,187,76
29,19781,2016,1,145,96
31,19789,2016,1,48,8
32,19805,2016,1,23,5
33,19895,2016,1,30,6
36,19844,2016,1,12,3
37,19851,2016,1,192,70
39,19865,2016,1,23,3
2,19929,2016,2,96,9
4,19961,2016,2,13,4
8,19991,2016,2,78,20
9,19900,2016,2,86,70
10,19994,2016,2,301,98
11,20009,2016,2,261,81
12,20020,2016,2,84,20
13,20034,2016,2,176,83
17,20064,2016,2,47,0
20,20113,2016,2,2124,695
22,20363,2016,2,236,64
25,20166,2016,2,255,100
29,20185,2016,2,272,125
31,20195,2016,2,76,16
32,20237,2016,2,53,11
35,20305,2016,2,20,8
36,20317,2016,2,7,3
37,20326,2016,2,228,67
39,20343,2016,2,12,3
2,20394,2016,3,94,18
4,20436,2016,3,63,27
7,20465,2016,3,652,311
8,20474,2016,3,90,36
9,20479,2016,3,57,53
11,20511,2016,3,309,64
13,20528,2016,3,233,72
17,20554,2016,3,27,9
20,20601,2016,3,2187,1015
21,20629,2016,3,1,1
22,20813,2016,3,398,137
25,20669,2016,3,262,150
29,20690,2016,3,141,57
31,20700,2016,3,53,3
32,20739,2016,3,32,9
35,20769,2016,3,27,11
36,20783,2016,3,4,4
39,20795,2016,3,21,5
2,20844,2016,4,72,11
4,20878,2016,4,36,0
7,20913,2016,4,652,311
8,20924,2016,4,90,36
9,20929,2016,4,57,53
10,20946,2016,4,313,77
11,20966,2016,4,135,42
13,20985,2016,4,233,72
17,21021,2016,4,37,0
20,21068,2016,4,1280,589
21,21096,2016,4,3,2
22,21305,2016,4,190,60
25,21125,2016,4,264,163
29,21138,2016,4,49,22
31,21147,2016,4,38,6
32,21182,2016,4,30,4
34,21229,2016,4,86,45
35,21252,2016,4,27,11
37,21274,2016,4,228,67
39,21289,2016,4,27,3
2,21352,2017,1,109,17
4,21386,2017,1,11,5
7,21420,2017,1,667,453
9,21441,2017,1,56,38
10,21463,2017,1,515,234
11,21476,2017,1,261,54
12,21483,2017,1,89,19
13,21496,2017,1,109,37
17,21532,2017,1,44,16
20,21583,2017,1,1500,755
21,21613,2017,1,15,5
22,21794,2017,1,299,51
25,21645,2017,1,173,82
29,21657,2017,1,116,65
31,21665,2017,1,105,27
32,21705,2017,1,13,0
34,21732,2017,1,47,19
35,21749,2017,1,44,19
36,21760,2017,1,5,2
37,21771,2017,1,190,65
39,21778,2017,1,6,0
2,21829,2017,2,102,17
4,21857,2017,2,209,102
9,21898,2017,2,73,65
10,21924,2017,2,312,111
11,21942,2017,2,356,69
12,21950,2017,2,65,0
13,21961,2017,2,204,88
17,21993,2017,2,26,8
20,22082,2017,2,1868,810
21,22108,2017,2,30,15
22,22295,2017,2,478,171
25,22140,2017,2,218,101
29,22159,2017,2,180,100
31,22168,2017,2,88,21
32,22204,2017,2,55,2
33,22299,2017,2,41,12
34,22230,2017,2,58,15
35,22248,2017,2,270,80
36,22260,2017,2,21,6
37,22270,2017,2,286,92
39,22278,2017,2,11,3
2,22323,2017,3,91,14
8,22340,2017,3,78,36
10,22354,2017,3,429,163
11,22368,2017,3,234,51
17,22396,2017,3,11,1
20,22443,2017,3,2140,1089
21,22470,2017,3,13,7
25,22510,2017,3,209,109
29,22523,2017,3,178,58
31,22532,2017,3,146,38
36,22559,2017,3,7,0
37,22562,2017,3,292,111
2,22588,2017,4,53,13
4,22615,2017,4,90,88
7,22637,2017,4,143,92
9,22645,2017,4,32,28
10,22664,2017,4,243,90
11,22678,2017,4,194,42
12,22682,2017,4,49,12
13,22697,2017,4,84,39
17,22721,2017,4,21,0
20,22787,2017,4,1379,15
21,22812,2017,4,3,2
25,22839,2017,4,214,106
29,22851,2017,4,123,52
32,22889,2017,4,21,5
33,22903,2017,4,50,14
35,22912,2017,4,112,46
36,22928,2017,4,8,4
37,22933,2017,4,180,65
39,22947,2017,4,36,0
2,10842,2018,1,70,13
4,10878,2018,1,210,75
6,10902,2018,1,152,57
7,10916,2018,1,484,217
8,10923,2018,1,43,24
9,10927,2018,1,51,49
10,10946,2018,1,221,79
11,10960,2018,1,240,59
12,10969,2018,1,38,9
13,10984,2018,1,82,24
17,11008,2018,1,17,5
20,11074,2018,1,1245,642
21,11095,2018,1,5,0
22,11109,2018,1,309,109
25,11133,2018,1,275,120
29,11146,2018,1,134,72
31,11154,2018,1,133,25
32,11183,2018,1,46,30
33,11192,2018,1,8,7
35,11200,2018,1,70,29
36,11214,2018,1,16,8
37,11222,2018,1,192,0
2,11503,2018,2,71,11
4,11546,2018,2,296,116
6,11570,2018,2,128,43
7,11585,2018,2,1362,747
9,11592,2018,2,70,62
10,11606,2018,2,373,131
11,11620,2018,2,261,93
12,11625,2018,2,101,29
13,11637,2018,2,324,154
17,11661,2018,2,20,4
20,11736,2018,2,1754,774
21,11758,2018,2,8,4
22,11772,2018,2,158,45
25,11795,2018,2,251,117
29,11806,2018,2,194,82
31,11813,2018,2,188,40
32,11842,2018,2,50,4
33,11854,2018,2,89,57
34,11860,2018,2,46,25
35,11877,2018,2,323,99
36,11890,2018,2,4,1
37,11897,2018,2,493,161
2,12131,2018,3,71,11
4,12148,2018,3,368,117
7,12183,2018,3,1143,292
8,12189,2018,3,53,24
9,12194,2018,3,70,58
10,12201,2018,3,629,227
11,12211,2018,3,201,45
12,12219,2018,3,115,31
13,12226,2018,3,242,102
17,12247,2018,3,11,4
20,12303,2018,3,1944,381
21,12337,2018,3,6,4
22,12351,2018,3,318,37
25,12376,2018,3,282,134
27,12386,2018,3,6,4
29,12399,2018,3,147,50
31,12406,2018,3,204,51
32,12411,2018,3,8,1
35,12450,2018,3,326,82
36,12460,2018,3,9,4
37,12465,2018,3,360,81
2,12493,2018,4,78,16
4,12520,2018,4,315,109
6,12542,2018,4,101,66
7,12551,2018,4,618,473
8,12559,2018,4,39,12
9,12561,2018,4,85,77
10,12571,2018,4,178,50
11,12581,2018,4,155,20
12,12588,2018,4,77,13
13,12597,2018,4,227,95
15,12609,2018,4,544,164
17,12621,2018,4,14,2
20,12691,2018,4,1317,230
21,12709,2018,4,6,4
22,12727,2018,4,239,10
25,12749,2018,4,193,68
29,12757,2018,4,135,60
31,12762,2018,4,166,26
32,12793,2018,4,12,0
35,12811,2018,4,127,39
36,12825,2018,4,21,12
37,12830,2018,4,139,26
2,13171,2019,1,58,14
4,13209,2019,1,237,67
6,13054,2019,1,213,146
7,13019,2019,1,627,298
8,13031,2019,1,32,10
9,13034,2019,1,31,7
10,13064,2019,1,374,122
11,13077,2019,1,110,5
12,13094,2019,1,86,10
13,13106,2019,1,119,36
15,13124,2019,1,407,127
17,13242,2019,1,16,1
20,13368,2019,1,2244,443
21,13413,2019,1,32,18
22,13439,2019,1,237,20
25,13464,2019,1,305,106
29,13478,2019,1,129,62
31,13485,2019,1,183,38
32,13501,2019,1,67,1
35,13536,2019,1,118,51
37,13558,2019,1,271,30
2,13589,2019,2,93,18
4,13619,2019,2,1026,420
